source	target
ABCA9	PMM2
ABCA9	SERPINB8
ABCB1	BCL2
ABCB1	CCR6
ABCB1	EDAR
ABCB1	FBXO21
ABCB1	LGALS3
ABCB1	LGALS9B
ABCB1	MARCHF1
ABCB1	PIM1
ABCB1	RAB11A
ABCB1	RNF2
ABCB1	SAAL1
ABCB1	SP1
ABCB1	SP3
ABCB1	TAS2R19
ABCB1	TMEM169
ABCB1	TTMP
ABCB1	TTYH1
ABCB1	USP7
ABCB10	CEACAM21
ABCB10	DKK3
ABCB10	EDAR
ABCB10	EIF2B5
ABCB10	FECH
ABCB10	FTL
ABCB10	IMPDH1
ABCB10	KCNA2
ABCB10	KCNA5
ABCB10	KCNC4
ABCB10	KCNK1
ABCB10	LGR4
ABCB10	LRRC55
ABCB10	MIA2
ABCB10	PCDHGC4
ABCB10	PIPSL
ABCB10	PRKN
ABCB10	RAMP3
ABCB10	RNF170
ABCB10	SAAL1
ABCB10	SDC4
ABCB10	SGSM1
ABCB10	SLC22A2
ABCB10	SLC24A5
ABCB10	SLC39A12
ABCB10	SLC39A4
ABCB10	SNX4
ABCB10	SYCE3
ABCB10	TNFSF18
ABCB10	TRDN
ABCB10	TSPAN2
ABCB10	TTMP
ABCB10	TTYH1
ABCB10	UQCR10
ABCB11	DDIT4L
ABCB5	RHBDD1
ABCB6	ACKR5
ABCB6	ALPI
ABCB6	ARL5B
ABCB6	ARMC6
ABCB6	AUP1
ABCB6	C1orf74
ABCB6	CD3D
ABCB6	CEACAM21
ABCB6	CHIA
ABCB6	CLEC14A
ABCB6	CLEC2D
ABCB6	CTDSP1
ABCB6	DPEP1
ABCB6	GNAI2
ABCB6	GP9
ABCB6	GPRC5B
ABCB6	GRPR
ABCB6	HAX1
ABCB6	HLA-DMB
ABCB6	IFT27
ABCB6	IGHM
ABCB6	KLRC1
ABCB6	KLRD1
ABCB6	LDLRAD1
ABCB6	LRRC25
ABCB6	MIOX
ABCB6	MRAP2
ABCB6	PCSK1
ABCB6	PPTC7
ABCB6	RAMP2
ABCB6	RAMP3
ABCB6	SGCA
ABCB6	SPCS3
ABCB6	TMEM154
ABCB6	TMEM59
ABCB6	TMPRSS11B
ABCB6	TTYH1
ABCB6	UPK2
ABCB6	VSIG4
ABCB7	AQP3
ABCB7	CLEC2D
ABCB7	FECH
ABCB7	GPR45
ABCB7	KLRB1
ABCB7	KLRG2
ABCB7	MGARP
ABCB7	MTCH1
ABCB7	OCIAD1
ABCB7	OPALIN
ABCB7	PDCD1
ABCB7	PRKN
ABCB7	RAMP3
ABCB7	SLC60A1
ABCB7	TSPAN8
ABCB7	VSIG4
ABCB7	VSTM1
ABCB8	ACKR5
ABCB8	AQP3
ABCB8	ATP2A1
ABCB8	AVPR2
ABCB8	B3GAT3
ABCB8	CCDC51
ABCB8	CD80
ABCB8	CLEC2D
ABCB8	CMTM5
ABCB8	CXCR4
ABCB8	FPR1
ABCB8	GPR12
ABCB8	GPR17
ABCB8	GPR45
ABCB8	HIDE1
ABCB8	HS2ST1
ABCB8	KLRK1
ABCB8	LPAR6
ABCB8	LRCH1
ABCB8	NIPAL1
ABCB8	P2RY8
ABCB8	SLC15A1
ABCB8	SLC18A2
ABCB8	SLC22A2
ABCB8	SLC22A4
ABCB8	SLC22A9
ABCB8	SLC26A6
ABCB8	SLC2A12
ABCB8	SLC31A1
ABCB8	SLC39A9
ABCB8	SLC5A4
ABCB8	SLCO4C1
ABCB8	SPPL2B
ABCB8	STS
ABCB8	TACR3
ABCB8	TMEM171
ABCB8	TSPAN15
ABCB8	VIPR1
ABCB8	VIPR2
ABCB8	VSIG1
ABCB9	ATP2B2
ABCB9	CNGA3
ABCB9	DCST1
ABCB9	GRIN2A
ABCB9	GRIN3B
ABCB9	HSD17B3
ABCB9	HTR3B
ABCB9	KCNA2
ABCB9	KCNMB3
ABCB9	LRRC8B
ABCB9	MARCHF4
ABCB9	OR10H2
ABCB9	PCBP4
ABCB9	PCDHA3
ABCB9	PCDHA8
ABCB9	PCDHAC1
ABCB9	PIK3CA
ABCB9	PTCHD3
ABCB9	RXFP1
ABCB9	SLC17A2
ABCB9	TCIRG1
ABCB9	TLR9
ABCB9	TMED7
ABCB9	TMEM9B
ABCB9	TTMP
ABCB9	TTYH1
ABCC1	ATP5F1A
ABCC1	CAV1
ABCC1	CMTM5
ABCC1	CSNK2A1
ABCC1	EEF1A1
ABCC1	LGALS9
ABCC1	RHOB
ABCC1	UNC93B1
ABCC1	VDAC3
ABCC10	ATP2B2
ABCC10	AVPR1B
ABCC10	CHRM4
ABCC10	CHRNA4
ABCC10	CHRNB2
ABCC10	CHRND
ABCC10	CMTM5
ABCC10	DPM2
ABCC10	ECSIT
ABCC10	GPR12
ABCC10	KCNMB3
ABCC10	MARCHF4
ABCC10	MS4A15
ABCC10	NKAIN1
ABCC10	OPRL1
ABCC10	OR10H1
ABCC10	OR10H2
ABCC10	OR4N2
ABCC10	PCDHGC4
ABCC10	PIGH
ABCC10	RXFP1
ABCC10	SLC17A2
ABCC10	SLC30A2
ABCC10	TEX264
ABCC10	TTMP
ABCC10	TTYH1
ABCC10	ZDHHC12
ABCC11	ABCC12
ABCC11	CFTR
ABCC12	CLUH
ABCC12	GAPDH
ABCC12	NPAS3
ABCC12	SHTN1
ABCC2	B4GAT1
ABCC2	CACNG2
ABCC2	CYP26B1
ABCC2	FFAR1
ABCC2	KCNE3
ABCC2	LAIR1
ABCC2	LGALS3
ABCC2	LGALS9
ABCC2	NFKB1
ABCC2	NHERF1
ABCC2	OPALIN
ABCC2	PDZK1
ABCC2	PIGH
ABCC2	S1PR4
ABCC2	TMEM9B
ABCC2	ZDHHC12
ABCC3	CRELD1
ABCC4	ATP2B2
ABCC4	CD63
ABCC4	CMKLR1
ABCC4	CMTM5
ABCC4	CRELD1
ABCC4	CTXN1
ABCC4	CX3CL1
ABCC4	EDAR
ABCC4	KDSR
ABCC4	LGALS3
ABCC4	LGALS8
ABCC4	LGALS9
ABCC4	LGALS9B
ABCC4	LGALS9C
ABCC4	LRTM2
ABCC4	MPP1
ABCC4	MS4A15
ABCC4	NAT8B
ABCC4	NHERF1
ABCC4	NHERF2
ABCC4	OPRL1
ABCC4	OR10H1
ABCC4	OR10H2
ABCC4	OR10S1
ABCC4	PDZK1
ABCC4	PDZK1P1
ABCC4	PIGH
ABCC4	REEP5
ABCC4	RXFP1
ABCC4	S1PR4
ABCC4	SAYSD1
ABCC4	SLC30A2
ABCC4	SLC4A8
ABCC4	SNX27
ABCC4	TMEM268
ABCC4	TTMP
ABCC4	TTYH1
ABCC5	CLGN
ABCC5	RHOB
ABCC5	RXFP1
ABCC5	SCN3B
ABCC5	SLC30A2
ABCC5	TRDN
ABCC5	TTMP
ABCC6	HSPA5
ABCC8	ABCC9
ABCC8	KCNJ11
ABCC8	LMBR1
ABCC9	EEF1G
ABCD1	ABCD3
ABCD1	ACKR5
ABCD1	AKAP1
ABCD1	APLNR
ABCD1	ATP2A1
ABCD1	ATP2A3
ABCD1	ATP2B2
ABCD1	BACE2
ABCD1	BCL2
ABCD1	BSG
ABCD1	CIAO2A
ABCD1	CMTM5
ABCD1	CMTM8
ABCD1	CRELD1
ABCD1	CTLA4
ABCD1	EEF1AKMT3
ABCD1	GPR12
ABCD1	IQCF1
ABCD1	MAS1
ABCD1	MGARP
ABCD1	PBXIP1
ABCD1	PEX19
ABCD1	PEX3
ABCD1	S100A2
ABCD1	SAAL1
ABCD1	SCN3B
ABCD1	SLC15A1
ABCD1	SLC27A2
ABCD1	SLC39A4
ABCD1	TMEM9
ABCD1	TTYH1
ABCD1	VASN
ABCD2	PEX19
ABCD3	ACKR5
ABCD3	ANLN
ABCD3	ATP2A1
ABCD3	ATP2A3
ABCD3	ATP2B2
ABCD3	CCNF
ABCD3	CRELD1
ABCD3	CUL3
ABCD3	ECT2
ABCD3	GNAO1
ABCD3	KRAS
ABCD3	MARCHF5
ABCD3	MYC
ABCD3	OCIAD1
ABCD3	PABIR3
ABCD3	PBXIP1
ABCD3	PEX14
ABCD3	PEX19
ABCD3	PEX3
