Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Notch signaling pathway	3/59	0.0335682321619362	0.0540679159249507	0	0	4.472987288135593	15.182102212986695	SNW1;HDAC1;EP300
KEGG_2021_Human	TNF signaling pathway	4/112	0.0454901840261117	0.0727153699205271	0	0	3.097399527186761	9.57176587340066	MAPK1;MAP2K7;MAP3K7;MAPK3
KEGG_2021_Human	Base excision repair	2/33	0.0589309986417381	0.0927943336821399	0	0	5.3708996869470536	15.207101105645918	LIG1;UNG
KEGG_2021_Human	Fructose and mannose metabolism	2/33	0.0589309986417381	0.0927943336821399	0	0	5.3708996869470536	15.207101105645918	PFKFB2;PFKL
KEGG_2021_Human	NOD-like receptor signaling pathway	5/181	0.0665160641509947	0.1039621447100732	0	0	2.377743783993784	6.444427021611272	PRKCD;MAPK1;ITPR3;MAP3K7;MAPK3
KEGG_2021_Human	DNA replication	2/36	0.0687136023555049	0.106013428260326	0	0	4.896252171754778	13.111223739422591	LIG1;MCM4
KEGG_2021_Human	RNA degradation	3/79	0.0688333633728183	0.106013428260326	0	0	3.2925401427297056	8.811057096404562	PFKL;PARN;EDC3
KEGG_2021_Human	Alanine, aspartate and glutamate metabolism	2/37	0.072085428904684	0.1102175760789009	0	0	4.756118143459916	12.50813104205171	GLUD1;GLS
KEGG_2021_Human	Dopaminergic synapse	4/132	0.0739328875364284	0.1122290594977439	0	0	2.6107712765957447	6.800008398748846	GSK3A;PPP3CB;PRKCB;ITPR3
KEGG_2021_Human	Transcriptional misregulation in cancer	5/192	0.0809412122891382	0.1219899699500582	0	0	2.236619589560766	5.622933582358558	ZEB1;KMT2A;BCL11B;HDAC1;ITGB7
KEGG_2021_Human	Hypertrophic cardiomyopathy	3/90	0.0931810476840662	0.1394411422789928	0	0	2.874634716540035	6.822114526171452	PRKAA1;ITGB7;EMD
KEGG_2021_Human	Epstein-Barr virus infection	5/202	0.0953851450586978	0.1417342648407411	0	0	2.1220009544882643	4.986346648366704	RB1;SNW1;HDAC1;MAP2K7;MAP3K7
KEGG_2021_Human	Salivary secretion	3/93	0.1003615628676	0.1480859424130322	0	0	2.7783898305084747	6.387451497281029	PRKCB;ITPR3;ATP2B1
KEGG_2021_Human	Retrograde endocannabinoid signaling	4/148	0.1018220611518439	0.1485717649392225	0	0	2.3187943262411346	5.297351695226502	PRKCB;MAPK1;ITPR3;MAPK3
